week_ending,region,year,month,season,decade,total_beef_dairy,mean_daytime_hours_above_30,mean_daytime_hours_above_35,mean_nighttime_hours_above_21,mean_vpd_mean,mean_vpd_max,heat_vpd_product,heat_vpd_recovery_compound,extreme_stress_compound,weighted_compound_index,threshold_score,pca_compound_index,stress_category
1987-10-17,6,1987,10,Fall,1980,24.5,0.9313501144166667,0.0,26.94736842105278,0.8621768951416016,1.7073593139648438,0.8029885499375371,2.9668313792429117,0.0,0.1624065996753551,1,-0.5130734512214123,Moderate
1987-10-24,6,1987,10,Fall,1980,24.7,0.22196796338694444,0.0,20.221967963386945,0.6307918429374695,1.2920663356781006,0.14001558069792744,0.42315463942277826,0.0,0.11162765832539279,1,-1.0577493940369835,Moderate
1987-10-31,6,1987,10,Fall,1980,24.4,0.8993135011441666,0.018306636155833333,26.707093821510554,0.7561128735542297,1.5917853116989136,0.6799825155762309,2.4960181996243467,0.07377080428150552,0.15051279538643872,1,-0.6617410876794134,Moderate
1987-11-07,6,1987,11,Fall,1980,21.0,0.7414187643022222,0.0,23.086956521739168,0.744179368019104,1.547433614730835,0.5517485474559327,1.8255680200607185,0.0,0.13718669470606742,1,-0.763875700123477,Moderate
1987-11-14,6,1987,11,Fall,1980,21.7,0.0,0.0,3.0961098398169447,0.43375757336616516,0.889976441860199,0.0,0.0,0.0,0.04003025189958061,0,-1.7222293889263487,Minimal
1987-11-21,6,1987,11,Fall,1980,16.4,0.004576659039166667,0.0,3.6544622425630555,0.3983800709247589,0.8366838097572327,0.0018232497526216556,0.0024895494905934827,0.0,0.03805843267116241,0,-1.768800222370778,Minimal
1987-11-28,6,1987,11,Fall,1980,20.8,0.0,0.0,4.0,0.2794608771800995,0.6213355660438538,0.0,0.0,0.0,0.02682951880637693,0,-1.9707496792037271,Minimal
1987-12-05,6,1987,12,Winter,1980,20.8,0.0,0.0,3.041189931350278,0.39729124307632446,0.8395401239395142,0.0,0.0,0.0,0.03614243274048749,0,-1.7786825623707438,Minimal
1987-12-12,6,1987,12,Winter,1980,20.5,0.020594965675277778,0.0,4.6361556064075,0.41827863454818726,0.9200790524482727,0.008614434121221974,0.012608219825935105,0.0,0.04307938821141286,0,-1.692259493548652,Minimal
1987-12-19,6,1987,12,Winter,1980,15.0,0.0,0.0,1.8283752860413889,0.17926189303398132,0.36096054315567017,0.0,0.0,0.0,0.010368147850247051,0,-2.223190483968275,Minimal
1987-12-26,6,1987,12,Winter,1980,6.8,0.029748283753055556,0.0,3.2540045766591668,0.18315443396568298,0.40041887760162354,0.005448530072241413,0.007221484251355279,0.0,0.015173515070257916,0,-2.174333667585582,Minimal
1988-01-02,6,1988,1,Winter,1980,6.7,0.0,0.0,0.29977116704805556,0.17761273682117462,0.3444240093231201,0.0,0.0,0.0,0.0058279968921079225,0,-2.2587989887150743,Minimal
1988-01-09,6,1988,1,Winter,1980,14.2,0.0,0.0,0.04118993135027778,0.14835400879383087,0.29568925499916077,0.0,0.0,0.0,0.0020951449236532886,0,-2.3119999049197584,Minimal
1988-01-16,6,1988,1,Winter,1980,16.8,0.0,0.0,0.45080091533194444,0.21824829280376434,0.4462019205093384,0.0,0.0,0.0,0.010417207561610336,0,-2.170665796684486,Minimal
1988-01-23,6,1988,1,Winter,1980,19.3,0.0,0.0,1.0869565217391666,0.28210049867630005,0.5962464213371277,0.0,0.0,0.0,0.01876898489409433,0,-2.030621716435353,Minimal
1988-01-30,6,1988,1,Winter,1980,16.4,0.0,0.0,0.79176201373,0.3355522155761719,0.7043086290359497,0.0,0.0,0.0,0.023393287565654782,0,-1.9364223071237647,Minimal
1988-02-06,6,1988,2,Winter,1980,16.2,0.0,0.0,3.3478260869566667,0.22184380888938904,0.44570666551589966,0.0,0.0,0.0,0.019069831445641592,0,-2.1193694553196973,Minimal
1988-02-13,6,1988,2,Winter,1980,13.1,0.0,0.0,1.0434782608697222,0.2895283102989197,0.6218282580375671,0.0,0.0,0.0,0.01940456510382675,0,-2.0120747967557637,Minimal
1988-02-20,6,1988,2,Winter,1980,17.8,0.0,0.0,1.5537757437072222,0.37978842854499817,0.772226870059967,0.0,0.0,0.0,0.03009813420512835,0,-1.8527538398718797,Minimal
1988-02-27,6,1988,2,Winter,1980,18.7,0.0,0.0,5.006864988558611,0.5213597416877747,1.069150447845459,0.0,0.0,0.0,0.054456857499600254,0,-1.526542544264366,Minimal
1988-03-05,6,1988,3,Spring,1980,17.2,0.10068649885583333,0.0,7.766590389016111,0.45898768305778503,0.9640371203422546,0.04621386282503927,0.08210627711066515,0.0,0.05708544031326347,0,-1.5807440371477837,Minimal
1988-03-12,6,1988,3,Spring,1980,14.6,0.24713958810083334,0.0,8.391304347826111,0.6251399517059326,1.2236855030059814,0.15449683016997903,0.28413982244304875,0.0,0.07749603787137527,0,-1.295557622749821,Minimal
1988-03-19,6,1988,3,Spring,1980,15.4,0.0,0.0,1.2334096109841666,0.46909287571907043,0.856033205986023,0.0,0.0,0.0,0.03831843841629138,0,-1.742808138026325,Minimal
1988-03-26,6,1988,3,Spring,1980,15.1,1.1739130434783334,0.0,21.961098398169444,0.879650354385376,1.7070807218551636,1.0326330247133313,3.300408571206212,0.0,0.15262703157872204,1,-0.5727701877486796,Moderate
1988-04-02,6,1988,4,Spring,1980,15.3,0.5972540045766667,0.013729977116944445,17.171624713958888,0.6416259407997131,1.2099756002426147,0.3832136625828999,1.0412537824964225,0.029108755362031072,0.10817824233408661,1,-1.1257371152067561,Moderate
1988-04-09,6,1988,4,Spring,1980,14.6,1.1006864988558334,0.0022883295197222223,26.752860411899444,1.0016508102416992,1.8440529108047485,1.1025035234010445,4.052015809918591,0.010507979712810804,0.1779990298581029,1,-0.3258426673391864,Moderate
1988-04-16,6,1988,4,Spring,1980,17.7,0.8375286041191666,0.0,18.89016018306639,0.8789272904396057,1.6000607013702393,0.7361267466841244,2.1266819626743887,0.0,0.14003730261946384,1,-0.6947478926760435,Moderate
1988-04-23,6,1988,4,Spring,1980,18.5,2.6910755148741665,0.354691075515,27.270022883295276,0.9486188888549805,1.71360182762146,2.5528050647447764,9.51431031796299,1.620612621312948,0.19170463897743878,1,-0.32178802309168497,Moderate
1988-04-30,6,1988,4,Spring,1980,18.8,2.4599542334097224,0.23569794050361112,29.02059496567528,1.0341092348098755,1.8188468217849731,2.543861389978642,9.926298494717631,1.148166283441455,0.2028918239505308,1,-0.1918597531662973,Moderate
1988-05-07,6,1988,5,Spring,1980,19.0,2.6132723112130556,0.07093821510305555,33.478260869565275,1.1565260887145996,1.9867210388183594,3.0223176048333973,13.140511325362615,0.4375740369883422,0.22986547485784453,1,0.056846503585410296,Moderate
1988-05-14,6,1988,5,Spring,1980,19.6,7.070938215103055,0.5446224256294444,44.48512585812333,1.400489091873169,2.422046422958374,9.902771839560964,53.95537700227586,5.494945291583525,0.3357784526240176,1,0.9038264097908946,Moderate
1988-05-21,6,1988,5,Spring,1980,22.3,11.038901601830833,0.6430205949658333,51.59496567505695,1.4181575775146484,2.4298317432403564,15.654901954074987,96.42631485076308,7.144639753455629,0.40196003022697235,1,1.2189451517888088,Moderate
1988-05-28,6,1988,5,Spring,1980,23.2,5.437070938215278,0.18535469107555555,42.81464530892445,1.3728073835372925,2.2885639667510986,7.464051128797968,39.42112129351418,1.7198869373538672,0.3100344891083991,1,0.6756470030198618,Moderate
