date,week,region_4_dairy,region_4_beef_dairy,region_6_dairy,region_6_beef_dairy,region_4_total,region_6_total,regions_4_6_total,year,month,year_week,region_4_hours_above_21,region_6_hours_above_21,combined_hours_above_21,region_4_hours_above_24,region_6_hours_above_24,combined_hours_above_24,region_4_hours_below_18_above_0,region_6_hours_below_18_above_0,combined_hours_below_18_above_0,region_4_hours_below_0,region_6_hours_below_0,combined_hours_below_0
2022-06-04,23.0,2.6,12.1,5.8,23.6,14.7,29.400000000000002,44.1,2022,6,2022-W22,58.30670926517445,59.6727688787175,59.10266666666667,41.217252396165,50.0480549199075,46.36266666666667,3.5623003194894443,4.093821510298611,3.872,0.0,0.0,0.0
2022-06-11,24.0,2.6,14.0,5.4,28.3,16.6,33.7,50.300000000000004,2022,6,2022-W23,57.94888178913611,66.45995423340861,62.908,41.753993610223056,58.400457665903055,51.45333333333333,4.019169329074167,0.6773455377583333,2.072,0.0,0.0,0.0
2022-06-18,25.0,3.0,14.5,6.3,27.0,17.5,33.3,50.8,2022,6,2022-W24,68.90095846645278,68.62929061784777,68.74266666666666,62.73801916932861,66.5652173913036,64.968,0.06389776357861111,0.526315789475,0.33333333333333337,0.0,0.0,0.0
2022-06-25,26.0,2.8,14.5,5.8,28.9,17.3,34.699999999999996,52.0,2022,6,2022-W25,62.798722044727775,64.71624713958694,63.916000000000004,53.63578274760305,60.556064073225556,57.668,2.6900958466461113,2.276887871854722,2.449333333333333,0.0,0.0,0.0
2022-07-02,27.0,2.7,15.1,5.9,28.5,17.8,34.4,52.2,2022,7,2022-W26,66.1565495207661,63.54462242562862,64.63466666666667,55.09904153354556,57.594965675056386,56.553333333333335,0.9009584664547222,2.686498855836111,1.9413333333333334,0.0,0.0,0.0
2022-07-09,28.0,2.6,12.4,5.2,23.6,15.0,28.8,43.8,2022,7,2022-W27,69.58466453674028,67.73913043478139,68.50933333333333,66.13418530351389,65.46453089244721,65.744,0.0,0.8627002288338889,0.5026666666666667,0.0,0.0,0.0
2022-07-16,29.0,3.0,15.5,6.6,29.8,18.5,36.4,54.9,2022,7,2022-W28,67.23642172523833,68.86727688787111,68.18666666666667,56.45686900958388,66.94050343249333,62.565333333333335,0.2332268370613889,0.3020594965686111,0.2733333333333333,0.0,0.0,0.0
2022-07-23,30.0,3.5,14.7,6.7,31.2,18.2,37.9,56.099999999999994,2022,7,2022-W29,69.23642172523861,69.3615560640725,69.30933333333333,62.72843450479139,67.93135011441555,65.76,0.0,0.05949656750666667,0.03466666666666667,0.0,0.0,0.0
2022-07-30,31.0,2.9,14.0,5.9,30.3,16.9,36.2,53.1,2022,7,2022-W30,69.31948881789027,67.83524027459889,68.45466666666667,64.45367412140472,64.97025171624611,64.75466666666667,0.0223642172525,0.6384439359277778,0.38133333333333336,0.0,0.0,0.0
2022-08-06,32.0,2.9,13.4,6.4,29.0,16.3,35.4,51.7,2022,8,2022-W31,68.84025559105334,68.24713958809973,68.49466666666667,60.40255591054222,65.43707093821416,63.336,0.0,0.5011441647608333,0.292,0.0,0.0,0.0
2022-08-13,33.0,3.1,13.2,6.8,29.1,16.3,35.9,52.2,2022,8,2022-W32,66.9201277955264,67.1945080091525,67.08,54.83386581469556,63.85812356979305,60.092,0.6261980830672222,0.8832951945091666,0.776,0.0,0.0,0.0
2022-08-20,34.0,2.9,14.0,6.1,30.3,16.9,36.4,53.3,2022,8,2022-W33,61.565495207666665,65.42562929061667,63.81466666666667,45.19169329073361,58.00915331807667,52.660000000000004,0.8722044728444445,1.281464530893611,1.1106666666666667,0.0,0.0,0.0
2022-08-27,35.0,2.7,14.5,6.8,28.6,17.2,35.4,52.599999999999994,2022,8,2022-W34,66.38019169329,63.599542334095,64.76,48.01277955271445,52.80091533180695,50.80266666666667,0.223642172525,2.2654462242572224,1.4133333333333333,0.0,0.0,0.0
2022-09-03,36.0,2.7,14.4,7.2,29.2,17.1,36.4,53.5,2022,9,2022-W35,65.6325878594239,65.31121281464416,65.44533333333334,54.43450479233139,56.82608695652083,55.828,0.7507987220458333,1.2814645308933332,1.06,0.0,0.0,0.0
2022-09-10,37.0,3.0,13.0,6.9,25.0,16.0,31.9,47.9,2022,9,2022-W36,62.18849840255472,64.70022883295083,63.652,41.43450479233194,51.057208237985556,47.041333333333334,1.169329073483611,1.3890160183080555,1.2973333333333334,0.0,0.0,0.0
2022-09-17,38.0,3.4,14.8,7.4,28.8,18.2,36.2,54.400000000000006,2022,9,2022-W37,48.412140575078894,57.51258581235611,53.714666666666666,32.86900958466417,44.434782608695,39.608,8.236421725240556,4.549199084669167,6.088,0.0,0.0,0.0
